"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","BRCA1, CDK2","0.999322905123646",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","","1",1
"4","#upgenes.HYP_0","HDAC1","0.999606363280962",1
"5","#upgenes.MTL_0","","1",1
"6","#upgenes.OXD_0","SRC, PTN, ROCK2, SMAD3","0.769786741561462",1
"7","#upgenes.DNA_0.25","BRCA1, CDK2","0.998953264771929",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","","1",1
"10","#upgenes.HYP_0.25","HDAC1","0.999202961463108",1
"11","#upgenes.MTL_0.25","","1",1
"12","#upgenes.OXD_0.25","SRC, PTN, SMAD3","0.858970346855078",1
"13","#upgenes.DNA_0.45","BRCA1, CDK2","0.997501353471546",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","","1",1
"16","#upgenes.HYP_0.45","","1",1
"17","#upgenes.MTL_0.45","","1",1
"18","#upgenes.OXD_0.45","SRC, PTN, SMAD3","0.771857212243209",1
"19","#upgenes.DNA_0.5","BRCA1, CDK2","0.997501353471546",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","","1",1
"22","#upgenes.HYP_0.5","","1",1
"23","#upgenes.MTL_0.5","","1",1
"24","#upgenes.OXD_0.5","SRC, PTN, SMAD3","0.771857212243209",1
"25","#upgenes.DNA_0.65","BRCA1, CDK2","0.985116414204866",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","","1",1
"28","#upgenes.HYP_0.65","","1",1
"29","#upgenes.MTL_0.65","","1",1
"30","#upgenes.OXD_0.65","SMAD3","0.919610022920868",1
"31","#upgenes.DNA_0.75","BRCA1, CDK2","0.985116414204866",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","","1",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3","0.919610022920868",1
"37","#upgenes.DNA_0.85","BRCA1","0.968909029906256",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","","1",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","BRCA1","0.968909029906256",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","","1",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","BRCA1","0.968909029906256",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","","1",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","BRCA1, CDK2","0.999322905123646",1
"56","#dngenes.ERS_0","","1",1
"57","#dngenes.HTS_0","","1",1
"58","#dngenes.HYP_0","HDAC1","0.999606363280962",1
"59","#dngenes.MTL_0","","1",1
"60","#dngenes.OXD_0","SRC, PTN, ROCK2, SMAD3","0.769786741561462",1
"61","#dngenes.DNA_0.25","CDK2","0.997974748455682",1
"62","#dngenes.ERS_0.25","","1",1
"63","#dngenes.HTS_0.25","","1",1
"64","#dngenes.HYP_0.25","HDAC1","0.986296124274469",1
"65","#dngenes.MTL_0.25","","1",1
"66","#dngenes.OXD_0.25","SRC, PTN, ROCK2, SMAD3","0.673625727886222",1
"67","#dngenes.DNA_0.45","","1",1
"68","#dngenes.ERS_0.45","","1",1
"69","#dngenes.HTS_0.45","","1",1
"70","#dngenes.HYP_0.45","HDAC1","0.916323776228219",1
"71","#dngenes.MTL_0.45","","1",1
"72","#dngenes.OXD_0.45","SRC, PTN, ROCK2","0.530653580710208",1
"73","#dngenes.DNA_0.5","","1",1
"74","#dngenes.ERS_0.5","","1",1
"75","#dngenes.HTS_0.5","","1",1
"76","#dngenes.HYP_0.5","HDAC1","0.916323776228219",1
"77","#dngenes.MTL_0.5","","1",1
"78","#dngenes.OXD_0.5","SRC, PTN, ROCK2","0.530653580710208",1
"79","#dngenes.DNA_0.65","","1",1
"80","#dngenes.ERS_0.65","","1",1
"81","#dngenes.HTS_0.65","","1",1
"82","#dngenes.HYP_0.65","HDAC1","0.785803210228301",1
"83","#dngenes.MTL_0.65","","1",1
"84","#dngenes.OXD_0.65","ROCK2","0.711177065774952",1
"85","#dngenes.DNA_0.75","","1",1
"86","#dngenes.ERS_0.75","","1",1
"87","#dngenes.HTS_0.75","","1",1
"88","#dngenes.HYP_0.75","","1",1
"89","#dngenes.MTL_0.75","","1",1
"90","#dngenes.OXD_0.75","ROCK2","0.711177065774952",1
"91","#dngenes.DNA_0.85","","1",1
"92","#dngenes.ERS_0.85","","1",1
"93","#dngenes.HTS_0.85","","1",1
"94","#dngenes.HYP_0.85","","1",1
"95","#dngenes.MTL_0.85","","1",1
"96","#dngenes.OXD_0.85","ROCK2","0.386911945086394",1
"97","#dngenes.DNA_0.95","","1",1
"98","#dngenes.ERS_0.95","","1",1
"99","#dngenes.HTS_0.95","","1",1
"100","#dngenes.HYP_0.95","","1",1
"101","#dngenes.MTL_0.95","","1",1
"102","#dngenes.OXD_0.95","ROCK2","0.386911945086394",1
"103","#dngenes.DNA_1","","1",1
"104","#dngenes.ERS_1","","1",1
"105","#dngenes.HTS_1","","1",1
"106","#dngenes.HYP_1","","1",1
"107","#dngenes.MTL_1","","1",1
"108","#dngenes.OXD_1","ROCK2","0.386911945086394",1
